lx,ly,lz,dlx_dt,dly_dt,dlz_dt
0.4445113976378485,-0.023254517631779048,0.5836659077039728,0.002262144856961726,0.17296409892470427,0.005168449066948048
0.44455327855809645,-0.019794777167041692,0.5837615920530387,0.0019259051055612324,0.17300875309564828,0.004399916543967666
0.4445884322945093,-0.016334215308572916,0.5838419018161579,0.0015894332217386352,0.17304623722419366,0.0036310015883997035
0.44461685460951145,-0.012872975517896873,0.5839068300119509,0.0012527697212461023,0.1730765454299495,0.002861770942116277
0.4446385420763179,-0.009411201362905455,0.5839563709946993,0.0009159551657637727,0.17309967295684037,0.002092291426594469
0.4446534920797556,-0.005949036495354845,0.5839905204557704,0.0005790301531887747,0.17311561617475485,0.0013226299260847214
0.44466170281689044,-0.0024866246283329952,0.5840092754247035,0.00024203530790766246,0.17312437258080465,0.0005528533707504834
0.4446631732974599,0.0009758904862941708,0.5840126342699599,-9.498872894327513e-05,0.17312594080019283,-0.00021697128021318365
0.44465790334411043,0.004438365080449996,0.584000596699334,-0.000432001309225381,0.17312032058669016,-0.0009867770554743047
0.44464589359244,0.007900655392419962,0.5839731637600277,-0.0007689617875482014,0.17310751282272124,-0.0017564969884642518
0.4446271454908457,0.011362617689422351,0.5839303378383857,-0.0011058295310188014,0.1730875195190577,-0.002526064134275824
0.44460166130017625,0.014824108290168865,0.5838721226592932,-0.001442563928985354,0.17306034381412133,-0.0032954115865513963
0.44456944409318994,0.018284983587407398,0.583798523285237,-0.0017791244027705387,0.17302598997289537,-0.004064472494353404
0.4445304977538178,0.02174510007043912,0.5837095461150276,-0.002115470415390313,0.17298446338544554,-0.00483318007900944
0.44448482697623276,0.025204314347602105,0.5836051988821864,-0.0024515614812535783,0.17293577056505233,-0.005601467650924252
0.44443243726372506,0.0286624831687137,0.583485490652996,-0.0027873571758383594,0.1728799191459543,-0.006369268626350963
0.4443733349273841,0.032119463447463886,0.5833504318242162,-0.0031228171453400316,0.17281691788070436,-0.007136516544113871
0.44430752708458826,0.035575112283751945,0.5832000341204655,-0.0034579011162872535,0.17274677663714105,-0.007903145082275192
0.44423502165730194,0.039029286985958644,0.5830343105912704,-0.003792568905121207,0.17266950639497544,-0.008669088074738195
0.44415582737018217,0.04248184509314641,0.5828532756077832,-0.004126780427733803,0.1725851192419972,-0.009434279527779178
0.4440699537484945,0.04593264439717977,0.5826569448591697,-0.004460495708960571,0.1724936283699004,-0.010198653636500833
0.44397741111583955,0.04938154296475857,0.5824453353486689,-0.004793674892023918,0.17239504806973266,-0.010962144801199555
0.4438782105916914,0.052828399159356415,0.5822184653893262,-0.005126278247922545,0.17228939372696983,-0.01172468764363937
0.44377236408874854,0.05627307166305687,0.5819763545994022,-0.005458266184762792,0.17217668181621903,-0.012486217023225155
0.4436598843100989,0.05971541949828005,0.5817190238974591,-0.005789599257027794,0.1720569298955536,-0.013246668053067975
0.44354078474620035,0.06315530204939225,0.5814464954971267,-0.006120238174780272,0.17193015660048244,-0.014005976115935377
0.4434150796716774,0.06659257908419133,0.5811587929015509,-0.00645014381279495,0.17179638163755806,-0.01476407688007959
0.4432827841419366,0.07002711077526068,0.5808559408975269,-0.006779277219616565,0.1716556257776266,-0.015520906314936682
0.44314391398960085,0.07345875772118464,0.5805379655493192,-0.0071075996265394775,0.17150791084872358,-0.016276400706689786
0.44299848582076545,0.07688738096761834,0.580204894192173,-0.007435072456505048,0.1713532597286201,-0.01703049667368963
0.44284651701107697,0.08031284202820496,0.5798567554255171,-0.00776165733291284,0.17119169633702278,-0.017783131181725705
1.286749399752122,0.2357512649761156,0.8537455327578246,-0.03354526488589414,0.732371034544791,-0.1516763993494101
1.2860589480414673,0.25036824605039837,0.850618736529074,-0.035494653520398364,0.7292972249899619,-0.16099416156928129
1.2853298294465414,0.26492196608171065,0.8473061387847911,-0.03741166802666161,0.7260452365688421,-0.1702560527402238
1.2845627084385831,0.2794088801750876,0.8438088866361109,-0.03929461601613053,0.7226169525478852,-0.17945911393975103
1.2837582829419933,0.2938254819922448,0.8401281857582005,-0.04114184485261224,0.7190143448000796,-0.18860044812348387
1.2829172835220584,0.3081683054915896,0.8362652991269739,-0.04295174336222947,0.7152394705731592,-0.19767722267443297
1.2820404725392616,0.32243392660243414,0.8322215457062164,-0.04472274346420041,0.7112944691430348,-0.20668667181203712
1.2811286432717914,0.3366189648312032,0.8279982990879654,-0.04645332172016467,0.7071815583612773,-0.2156260988568771
1.2801826190078933,0.3507200847976065,0.8235969860890704,-0.048142000800035334,0.7029030311056756,-0.22449287834743517
1.2792032521097545,0.3647339976989301,0.8190190853069246,-0.04978735086261929,0.6984612516430495,-0.23328445800573155
1.2781914230506417,0.3786574627007833,0.8142661256374173,-0.051387990849510276,0.6938586519136153,-0.24199836054912977
1.277148039427039,0.3924872882528271,0.8093396847582086,-0.05294258969102454,0.689097727746296,-0.25063218534606657
1.2760740349475532,0.40622033332819657,0.8042413875804643,-0.05444986742321126,0.6841810350144146,-0.2591836099139259
1.2749703684003775,0.4198535085855203,0.7989729046722239,-0.05590859621523292,0.6791111857412433,-0.26765039125773593
1.2738380226011037,0.43338377745262757,0.7935359506565945,-0.05731760130666948,0.6738908441648557,-0.27603036704882594
1.2726780033226945,0.4468081571312247,0.7879322825879744,-0.05867576185455535,0.6685227227717042,-0.2843214566430299
1.271491338209415,0.4601237195220076,0.7821636983095186,-0.05998201169021085,0.6630095783082632,-0.2925216619384655
1.2702790756765292,0.4733275920698656,0.7762320347950489,-0.06123533998617209,0.6573542077799774,-0.30062906807335305
1.2690422837975504,0.4864169585290126,0.7701391664786001,-0.062434791833764935,0.6515594444466297,-0.30864184396475824
1.2677820491808294,0.4993890596480653,0.7638870035747722,-0.0635794687320973,0.6456281538230855,-0.31655824268955585
1.2664994758372399,0.5122411937752627,0.7574774903930263,-0.06466852898946895,0.6395632296941838,-0.3243766017093061
1.2651956840407008,0.5249707173841968,0.7509126036490277,-0.06570118803841085,0.6333675901523435,-0.33209534294111814
1.263871809183251,0.5375750455205923,0.7441943507760921,-0.06667671866577088,0.627044173666223,-0.3397129726769398
1.2625290006263576,0.5500516521708377,0.7373247682397378,-0.06759445115945795,0.620595935188518,-0.3472280813540623
1.261168420550109,0.5623980705531287,0.7303059198582905,-0.06845377337363842,0.6140258423107166,-0.3546393431799591
