q1x,q1y,q1z,q2x,q2y,q2z,p1x,p1y,p1z,p2x,p2y,p2z,dq1x_dt,dq1y_dt,dq1z_dt,dq2x_dt,dq2y_dt,dq2z_dt,dp1x_dt,dp1y_dt,dp1z_dt,dp2x_dt,dp2y_dt,dp2z_dt
-0.8059874419489553,0.07802747125893492,0.7348050063524633,-0.44668242045084816,1.884263346598372,1.9270600089966932,-0.4912647534611072,0.03143321414212179,-0.3755968314747159,0.4912647534611072,-0.03143321414212179,0.3755968314747159,-0.4912647534611072,0.03143321414212179,-0.3755968314747159,0.4912647534611072,-0.03143321414212179,0.3755968314747159,0.034027602907005156,0.17105766255693985,0.11291125190712638,-0.034027602907005156,-0.17105766255693985,-0.11291125190712638
-0.8108966867232758,0.07835890916661183,0.7310603291629069,-0.4417731756765278,1.8839319086906952,1.9308046861862496,-0.49092447743203715,0.03314379076769119,-0.3744677189556446,0.49092447743203715,-0.03314379076769119,0.3744677189556446,-0.49092447743203715,0.03314379076769119,-0.3744677189556446,0.49092447743203715,-0.03314379076769119,0.3744677189556446,0.034711893032486445,0.16979372742769605,0.11282239288748337,-0.034711893032486445,-0.16979372742769605,-0.11282239288748337
-0.8158024603082928,0.0787073264470315,0.7273269342126392,-0.43686740209151065,1.8835834914102754,1.9345380811365172,-0.4905773585017123,0.03484172804196815,-0.3733394950267698,0.4905773585017123,-0.03484172804196815,0.3733394950267698,-0.4905773585017123,0.03484172804196815,-0.3733394950267698,0.4905773585017123,-0.03484172804196815,0.3733394950267698,0.03538405934936412,0.1685350667733064,0.11272652119068732,-0.03538405934936412,-0.1685350667733064,-0.11272652119068732
-0.820704695487375,0.07907259723412852,0.7236048119144906,-0.4319651669124285,1.8832182206231785,1.9382602034346659,-0.49022351790821866,0.03652707870970121,-0.3722122298148629,0.49022351790821866,-0.03652707870970121,0.3722122298148629,-0.49022351790821866,0.03652707870970121,-0.3722122298148629,0.49022351790821866,-0.03652707870970121,0.3722122298148629,0.03604423062849925,0.1672817816475159,0.11262379009049628,-0.03604423062849925,-0.1672817816475159,-0.11262379009049628
-0.8256033262433944,0.07945459619939028,0.719893951995351,-0.42706653615640916,1.8828362216579166,1.9419710633538054,-0.48986307560193365,0.03819989652617637,-0.37108599191395797,0.48986307560193365,-0.03819989652617637,0.37108599191395797,-0.48986307560193365,0.03819989652617637,-0.37108599191395797,0.48986307560193365,-0.03819989652617637,0.37108599191395797,0.03669253591648346,0.16603396903161888,0.1125143510375676,-0.03669253591648346,-0.16603396903161888,-0.1125143510375676
-0.8304982877458221,0.0798531985615552,0.7161943435113152,-0.4221715746539815,1.8824376192957517,1.9456706718378411,-0.4894961502427688,0.03986023621649256,-0.3699608484035823,0.4894961502427688,-0.03986023621649256,0.3699608484035823,-0.4894961502427688,0.03986023621649256,-0.3699608484035823,0.4894961502427688,-0.03986023621649256,0.3699608484035823,0.03732910446802249,0.16479172191431435,0.11239835364564764,-0.03732910446802249,-0.16479172191431435,-0.11239835364564764
-0.835389516337803,0.08026828009591157,0.7125059748626439,-0.4172803460620006,1.8820225377613953,1.9493590404865124,-0.4891228591980886,0.04150815343563571,-0.3688368648671258,0.4891228591980886,-0.04150815343563571,0.3688368648671258,-0.4891228591980886,0.04150815343563571,-0.3688368648671258,0.4891228591980886,-0.04150815343563571,0.3688368648671258,0.037954065680627175,0.1635551293712992,0.11227594567946789,-0.037954065680627175,-0.1635551293712992,-0.11227594567946789
-0.8402769495232159,0.08069971714320505,0.7088288338085406,-0.41239291287658775,1.8815911007141017,1.9530361815406156,-0.48874331854128233,0.0431437047293487,-0.3677141054103311,0.48874331854128233,-0.0431437047293487,0.3677141054103311,-0.48874331854128233,0.0431437047293487,-0.3677141054103311,0.48874331854128233,-0.0431437047293487,0.3677141054103311,0.03856754903157492,0.16232427664454377,0.11214727304429048,-0.03856754903157492,-0.16232427664454377,-0.11214727304429048
-0.8451605259537255,0.081147386618163,0.7051629074817417,-0.40750933644607806,1.8811434312391437,1.9567021078674145,-0.48835764305096657,0.044766947495794136,-0.36659263267988823,0.48835764305096657,-0.044766947495794136,0.36659263267988823,-0.48835764305096657,0.044766947495794136,-0.36659263267988823,0.48835764305096657,-0.044766947495794136,0.36659263267988823,0.03916968401710194,0.16109924522118807,0.11201247977704085,-0.03916968401710194,-0.16109924522118807,-0.11201247977704085
-0.8500401854158335,0.08161116601764305,0.7015081824029206,-0.4026296769839701,1.8806796518396636,1.9603568329462358,-0.48796594621079553,0.046377939948006014,-0.3654725078821178,0.48796594621079553,-0.046377939948006014,0.3654725078821178,-0.48796594621079553,0.046377939948006014,-0.3654725078821178,0.48796594621079553,-0.046377939948006014,0.3654725078821178,0.03976060009378789,0.15988011291200943,0.11187170803897169,-0.03976060009378789,-0.15988011291200943,-0.11187170803897169
